Segmented_Min,NonSegmented_Min,Segmented_Win,NonSegmented_Win,Delta
149.87960994,101.485468805,0,1,-48.3941411344
189.683632939,217.184264484,1,0,27.5006315458
120.38997798,193.092297913,1,0,72.7023199332
141.354608066,154.217794833,1,0,12.863186767
209.153573482,175.325391701,0,1,-33.8281817811
134.813129886,210.148514471,1,0,75.3353845841
184.778807043,183.213896043,0,1,-1.56491099979
98.000703222,269.916818406,1,0,171.916115184
123.612809062,170.136981699,1,0,46.5241726372
131.898876846,171.203420482,1,0,39.3045436367
175.492458345,167.223351682,0,1,-8.26910666269
136.622085197,209.08253205,1,0,72.4604468532
114.491071981,223.082781573,1,0,108.591709591
110.009990001,140.35977492,1,0,30.3497849188
146.894714686,152.299309689,1,0,5.40459500302
140.598028589,136.380030145,0,1,-4.21799844486
114.989751465,177.315068345,1,0,62.3253168796
105.703575131,129.415276411,1,0,23.7117012795
139.790754646,171.203308634,1,0,31.412553988
185.697298833,197.143063993,1,0,11.4457651603
